date,indice,value
1982-10-01,00471X0095,65.74
1982-11-19,00471X0095,65.08
1982-12-10,00471X0095,65.30
1982-12-31,00471X0095,67.18
1983-01-05,00471X0095,67.54
1983-02-02,00471X0095,69.29
1983-03-02,00471X0095,72.04
1983-03-23,00471X0095,72.27
1983-04-07,00471X0095,72.23
1983-05-05,00471X0095,72.14
1983-06-02,00471X0095,71.97
1983-07-07,00471X0095,71.14
1983-08-04,00471X0095,70.13
1983-09-01,00471X0095,68.96
1983-10-06,00471X0095,67.58
1983-11-03,00471X0095,66.57
1983-12-01,00471X0095,65.70
1983-12-29,00471X0095,65.02
1984-01-31,00471X0095,64.82
1984-02-06,00471X0095,65.15
1984-02-13,00471X0095,65.61
1984-02-20,00471X0095,66.01
1984-02-27,00471X0095,66.32
1984-03-06,00471X0095,66.57
1984-03-13,00471X0095,66.78
1984-03-20,00471X0095,66.91
1984-03-27,00471X0095,67.03
1984-04-04,00471X0095,67.09
1984-04-12,00471X0095,67.12
1984-04-19,00471X0095,67.11
1984-04-26,00471X0095,67.07
1984-05-03,00471X0095,67.06
1984-05-10,00471X0095,66.99
1984-05-17,00471X0095,66.92
1984-08-09,00471X0095,65.37
1984-08-16,00471X0095,65.22
1984-08-23,00471X0095,65.06
1984-08-30,00471X0095,64.90
1984-09-06,00471X0095,64.76
1984-09-13,00471X0095,64.60
1984-09-20,00471X0095,64.56
1984-09-27,00471X0095,64.47
1984-10-04,00471X0095,64.43
1984-10-11,00471X0095,64.44
1985-09-10,00471X0095,66.71
1985-10-11,00471X0095,65.75
1985-11-15,00471X0095,64.83
1986-01-13,00471X0095,64.00
1986-02-16,00471X0095,64.13
1986-03-14,00471X0095,64.23
1986-03-21,00471X0095,64.29
1986-03-28,00471X0095,64.37
1986-04-04,00471X0095,64.72
1986-04-11,00471X0095,65.07
1986-04-18,00471X0095,65.40
1986-05-09,00471X0095,66.52
1986-05-16,00471X0095,66.84
1986-05-23,00471X0095,67.09
1986-05-30,00471X0095,67.28
1986-06-06,00471X0095,67.42
1986-06-13,00471X0095,67.48
1986-07-07,00471X0095,67.28
1986-07-14,00471X0095,67.17
1986-07-21,00471X0095,67.01
1986-07-28,00471X0095,66.85
1986-08-04,00471X0095,66.64
1986-08-11,00471X0095,66.44
1986-09-19,00471X0095,65.26
1986-09-26,00471X0095,65.01
1986-10-03,00471X0095,64.82
1986-10-10,00471X0095,64.64
1986-10-17,00471X0095,64.54
1986-10-24,00471X0095,64.41
1986-10-31,00471X0095,64.30
1986-11-07,00471X0095,64.21
1986-11-14,00471X0095,64.15
1986-11-21,00471X0095,64.17
1986-11-28,00471X0095,64.16
1986-12-05,00471X0095,64.14
1986-12-12,00471X0095,64.14
1986-12-19,00471X0095,64.22
1986-12-26,00471X0095,64.47
1987-01-01,00471X0095,64.74
1987-01-08,00471X0095,65.63
1987-01-15,00471X0095,66.09
1987-01-22,00471X0095,66.55
1987-01-29,00471X0095,66.88
1987-02-05,00471X0095,67.08
1987-02-12,00471X0095,67.25
1987-02-19,00471X0095,67.33
1987-02-26,00471X0095,67.39
1987-03-05,00471X0095,67.46
1987-03-12,00471X0095,67.60
1987-03-19,00471X0095,67.76
1987-04-01,00471X0095,68.11
1987-04-08,00471X0095,68.41
1987-04-15,00471X0095,68.69
1987-04-22,00471X0095,68.93
1987-04-29,00471X0095,69.09
1987-05-07,00471X0095,69.21
1987-05-14,00471X0095,69.25
1987-05-21,00471X0095,69.24
1987-05-28,00471X0095,69.17
1987-06-04,00471X0095,69.09
1987-06-11,00471X0095,68.97
1987-06-17,00471X0095,68.84
1987-06-24,00471X0095,68.73
1987-07-01,00471X0095,68.58
1987-07-08,00471X0095,68.43
1987-07-15,00471X0095,68.29
1987-07-22,00471X0095,68.13
1987-07-29,00471X0095,67.95
1987-08-05,00471X0095,67.88
1987-08-12,00471X0095,67.73
1987-08-20,00471X0095,67.53
1987-08-28,00471X0095,67.30
1987-09-04,00471X0095,67.14
1987-09-11,00471X0095,67.01
1987-09-18,00471X0095,66.87
1987-09-25,00471X0095,66.74
1987-10-02,00471X0095,66.58
1987-10-28,00471X0095,66.59
1987-11-04,00471X0095,66.64
1987-11-11,00471X0095,66.70
1987-11-18,00471X0095,66.80
1987-11-25,00471X0095,66.97
1987-12-02,00471X0095,67.09
1987-12-21,00471X0095,67.57
1988-02-19,00471X0095,72.95
1988-04-11,00471X0095,73.76
1988-04-18,00471X0095,73.66
1988-04-25,00471X0095,73.52
1988-05-02,00471X0095,73.36
1988-05-09,00471X0095,73.12
1988-05-16,00471X0095,72.88
1988-06-15,00471X0095,71.54
1988-06-22,00471X0095,71.22
1988-06-29,00471X0095,70.88
1988-07-06,00471X0095,70.55
1988-07-13,00471X0095,70.21
1988-07-20,00471X0095,69.88
1988-09-01,00471X0095,67.94
1988-09-08,00471X0095,67.66
1988-09-15,00471X0095,67.38
1988-09-22,00471X0095,67.13
1988-09-29,00471X0095,66.87
1988-10-06,00471X0095,66.64
1988-10-13,00471X0095,66.46
1988-10-20,00471X0095,66.27
1988-10-27,00471X0095,66.09
1988-11-03,00471X0095,65.92
1988-11-10,00471X0095,65.97
1988-11-17,00471X0095,65.61
1988-11-25,00471X0095,65.41
1988-12-02,00471X0095,65.29
1988-12-09,00471X0095,65.26
1988-12-16,00471X0095,65.24
1988-12-23,00471X0095,65.23
1988-12-30,00471X0095,65.21
1989-01-30,00471X0095,65.10
1989-02-07,00471X0095,65.09
1989-02-15,00471X0095,65.05
1989-02-22,00471X0095,65.03
1989-02-28,00471X0095,65.03
1989-03-09,00471X0095,65.17
1989-03-19,00471X0095,65.33
1989-03-27,00471X0095,65.83
1989-04-10,00471X0095,66.67
1989-04-17,00471X0095,66.97
1989-04-24,00471X0095,67.28
1989-05-01,00471X0095,67.47
1989-05-08,00471X0095,67.68
1989-05-15,00471X0095,67.87
1989-05-22,00471X0095,68.01
1989-05-29,00471X0095,68.08
1989-06-05,00471X0095,68.10
1989-06-12,00471X0095,68.09
1989-06-19,00471X0095,67.90
1989-06-26,00471X0095,67.76
1989-07-03,00471X0095,67.59
1989-07-10,00471X0095,67.42
1989-07-17,00471X0095,67.22
1989-07-24,00471X0095,67.00
1989-08-18,00471X0095,66.47
1989-08-25,00471X0095,66.24
1989-09-01,00471X0095,66.01
1989-09-08,00471X0095,65.79
1989-09-15,00471X0095,65.58
1989-09-22,00471X0095,65.34
1989-09-29,00471X0095,65.13
1989-10-06,00471X0095,64.95
1989-10-13,00471X0095,64.76
1989-10-20,00471X0095,64.58
1989-10-27,00471X0095,64.41
1989-11-24,00471X0095,64.25
1989-12-29,00471X0095,63.69
1990-02-05,00471X0095,63.34
1990-03-12,00471X0095,64.12
1990-04-17,00471X0095,65.07
1990-06-06,00471X0095,65.19
1990-07-13,00471X0095,64.51
1990-09-10,00471X0095,63.21
1990-10-18,00471X0095,62.58
1990-11-26,00471X0095,62.19
1991-02-01,00471X0095,63.88
1991-03-04,00471X0095,64.77
1991-04-03,00471X0095,65.20
1991-05-02,00471X0095,65.31
1991-07-01,00471X0095,64.62
